Home ID,Error,Original Address,Normalized Address,Normalized Street Number,Normalized Street Name,Normalized City,Flag Number Changed
19,,"12 GREENVILLE ST, ROXBURY, MA 02119","12 Greenville Street, Boston, MA 02119",12,Greenville Street,Boston,
20,,"15 GREENVILLE ST, ROXBURY, MA 02119","15 Greenville Street, Boston, MA 02119",15,Greenville Street,Boston,
21,,"26 MT PLEASANT AV, ROXBURY, MA 02119","26 Mount Pleasant Avenue, Boston, MA 02119",26,Mount Pleasant Avenue,Boston,
22,,"2 MT PLEASANT TE, ROXBURY, MA 02119","2 Mount Pleasant Terrace, Boston, MA 02119",2,Mount Pleasant Terrace,Boston,
23,,"4 MT PLEASANT TE, ROXBURY, MA 02119","4 Mount Pleasant Terrace, Boston, MA 02119",4,Mount Pleasant Terrace,Boston,
24,,"52 MT PLEASANT AV, ROXBURY, MA 02119","52 Mount Pleasant Avenue, Boston, MA 02119",52,Mount Pleasant Avenue,Boston,
25,,"92 MT PLEASANT AV, ROXBURY, MA 02119","92 Mount Pleasant Avenue, Boston, MA 02119",92,Mount Pleasant Avenue,Boston,
26,,"29 FOREST ST, ROXBURY, MA 02119","29 Forest Street, Boston, MA 02119",29,Forest Street,Boston,
27,,"36 FOREST ST, ROXBURY, MA 02119","36 Forest Street, Boston, MA 02119",36,Forest Street,Boston,
28,,"34 FOREST ST, ROXBURY, MA 02119","34 Forest Street, Boston, MA 02119",34,Forest Street,Boston,
29,,"19 A FOREST ST, ROXBURY, MA 02119","19 A Forest Street, Boston, MA 02119",19A,Forest Street,Boston,true
30,,"19 FOREST ST, ROXBURY, MA 02119","19 Forest Street, Boston, MA 02119",19,Forest Street,Boston,
31,,"17 A FOREST ST, ROXBURY, MA 02119","17 A Forest Street, Boston, MA 02119",17A,Forest Street,Boston,true
32,,"22 FOREST ST, ROXBURY, MA 02119","22 Forest Street, Boston, MA 02119",22,Forest Street,Boston,
33,,"17 FOREST ST, ROXBURY, MA 02119","17 Forest Street, Boston, MA 02119",17,Forest Street,Boston,
34,,"16 FOREST ST, ROXBURY, MA 02119","16 Forest Street, Boston, MA 02119",16,Forest Street,Boston,
35,,"14 FOREST ST, ROXBURY, MA 02119","14 Forest Street, Boston, MA 02119",14,Forest Street,Boston,
36,,"2 FOREST ST, ROXBURY, MA 02119","2 Forest Street, Boston, MA 02119",2,Forest Street,Boston,
37,,"291 DUDLEY ST, ROXBURY, MA 02119","291 Dudley Street, Boston, MA 02119",291,Dudley Street,Boston,
38,,"60 FOREST ST, ROXBURY, MA 02119","60 Forest Street, Boston, MA 02119",60,Forest Street,Boston,
39,,"57 FOREST ST, ROXBURY, MA 02119","57 Forest Street, Boston, MA 02119",57,Forest Street,Boston,
40,,"66 FOREST ST, ROXBURY, MA 02119","66 Forest Street, Boston, MA 02119",66,Forest Street,Boston,
41,,"3 FOREST PL, ROXBURY, MA 02119","3 Forest Place, Boston, MA 02119",3,Forest Place,Boston,
42,,"74 FOREST ST, ROXBURY, MA 02119","74 Forest Street, Boston, MA 02119",74,Forest Street,Boston,
43,,"143 MT PLEASANT AV, ROXBURY, MA 02119","143 Mount Pleasant Avenue, Boston, MA 02119",143,Mount Pleasant Avenue,Boston,
44,,"105 MT PLEASANT AV, ROXBURY, MA 02119","105 Mount Pleasant Avenue, Boston, MA 02119",105,Mount Pleasant Avenue,Boston,
45,,"102 MT PLEASANT AV, ROXBURY, MA 02119","102 Mount Pleasant Avenue, Boston, MA 02119",102,Mount Pleasant Avenue,Boston,
46,,"33 FAIRLAND ST, ROXBURY, MA 02119","33 Fairland Street, Boston, MA 02119",33,Fairland Street,Boston,
47,,"93 WINTHROP ST, ROXBURY, MA 02119","93 Winthrop Street, Boston, MA 02119",93,Winthrop Street,Boston,
48,,"1 PRESBY PL, ROXBURY, MA 02119","1 Presby Place, Boston, MA 02119",1,Presby Place,Boston,
49,,"4 PRESBY PL, ROXBURY, MA 02119","4 Presby Place, Boston, MA 02119",4,Presby Place,Boston,
50,,"117 WINTHROP ST, ROXBURY, MA 02119","117 Winthrop Street, Boston, MA 02119",117,Winthrop Street,Boston,
51,,"3 LAGRANGE PL, ROXBURY, MA 02119","3 La Grange Place, Boston, MA 02119",3,La Grange Place,Boston,
52,,"96 MORELAND ST, ROXBURY, MA 02119","96 Moreland Street, Boston, MA 02119",96,Moreland Street,Boston,
53,,"88 MORELAND ST, ROXBURY, MA 02119","88 Moreland Street, Boston, MA 02119",88,Moreland Street,Boston,
54,,"15 WARWICK ST, ROXBURY CROSSIN, MA 02120","15 Warwick Street, Boston, MA 02120",15,Warwick Street,Boston,
55,,"1 SUSSEX ST, ROXBURY CROSSIN, MA 02120","1 Sussex Street, Boston, MA 02120",1,Sussex Street,Boston,
56,,"28 SUSSEX ST, ROXBURY CROSSIN, MA 02120","28 Sussex Street, Boston, MA 02120",28,Sussex Street,Boston,
57,,"30 SUSSEX ST, ROXBURY CROSSIN, MA 02120","30 Sussex Street, Boston, MA 02120",30,Sussex Street,Boston,
58,,"7 SUSSEX ST, ROXBURY CROSSIN, MA 02120","7 Sussex Street, Boston, MA 02120",7,Sussex Street,Boston,
59,,"14 WARWICK ST, ROXBURY CROSSIN, MA 02120","14 Warwick Street, Boston, MA 02120",14,Warwick Street,Boston,
60,,"38 GREENWICH ST, ROXBURY CROSSIN, MA 02120","38 Greenwich Street, Boston, MA 02120",38,Greenwich Street,Boston,
61,,"28 GREENWICH ST, ROXBURY CROSSIN, MA 02120","28 Greenwich Street, Boston, MA 02120",28,Greenwich Street,Boston,
62,,"15 GREENWICH ST, ROXBURY CROSSIN, MA 02120","15 Greenwich Street, Boston, MA 02120",15,Greenwich Street,Boston,
63,,"17 GREENWICH ST, ROXBURY CROSSIN, MA 02120","17 Greenwich Street, Boston, MA 02120",17,Greenwich Street,Boston,
64,,"5 GREENWICH CT, ROXBURY CROSSIN, MA 02120","5 Greenwich Court, Boston, MA 02120",5,Greenwich Court,Boston,
65,Error: Could not geocode home,"7 GREENWICH CT, ROXBURY CROSSIN, MA 02120",,,,,
66,,"3 GREENWICH CT, ROXBURY CROSSIN, MA 02120","3 Greenwich Court, Boston, MA 02120",3,Greenwich Court,Boston,
67,,"4 GREENWICH CT, ROXBURY CROSSIN, MA 02120","4 Greenwich Court, Boston, MA 02120",4,Greenwich Court,Boston,
68,,"45 GREENWICH ST, ROXBURY CROSSIN, MA 02120","45 Greenwich Street, Boston, MA 02120",45,Greenwich Street,Boston,
69,,"49 GREENWICH ST, ROXBURY CROSSIN, MA 02120","49 Greenwich Street, Boston, MA 02120",49,Greenwich Street,Boston,
70,,"53 GREENWICH ST, ROXBURY CROSSIN, MA 02120","53 Greenwich Street, Boston, MA 02120",53,Greenwich Street,Boston,
71,,"36 WARWICK ST, ROXBURY CROSSIN, MA 02120","36 Warwick Street, Boston, MA 02120",36,Warwick Street,Boston,
72,,"77 WINDSOR ST, ROXBURY CROSSIN, MA 02120","77 Windsor Street, Boston, MA 02120",77,Windsor Street,Boston,
73,,"792 R SHAWMUT AV, ROXBURY, MA 02119","792 R Shawmut Avenue, Boston, MA 02119",792R,Shawmut Avenue,Boston,true
74,,"1 PUTNAM PL, ROXBURY, MA 02119","1 Putnam Place, Boston, MA 02119",1,Putnam Place,Boston,
75,,"4 PUTNAM PL, ROXBURY, MA 02119","4 Putnam Place, Boston, MA 02119",4,Putnam Place,Boston,
76,,"5 PUTNAM PL, ROXBURY, MA 02119","5 Putnam Place, Boston, MA 02119",5,Putnam Place,Boston,
77,,"25 PUTNAM ST, ROXBURY, MA 02119","25 Putnam Street, Boston, MA 02119",25,Putnam Street,Boston,
78,,"23 PUTNAM ST, ROXBURY, MA 02119","23 Putnam Street, Boston, MA 02119",23,Putnam Street,Boston,
79,,"13 PUTNAM ST, ROXBURY, MA 02119","13 Putnam Street, Boston, MA 02119",13,Putnam Street,Boston,
80,,"30 DUDLEY ST, ROXBURY, MA 02119","30 Dudley Street, Boston, MA 02119",30,Dudley Street,Boston,
81,,"32 DUDLEY ST, ROXBURY, MA 02119","32 Dudley Street, Boston, MA 02119",32,Dudley Street,Boston,
82,,"34 DUDLEY ST, ROXBURY, MA 02119","34 Dudley Street, Boston, MA 02119",34,Dudley Street,Boston,
83,,"36 DUDLEY ST, ROXBURY, MA 02119","36 Dudley Street, Boston, MA 02119",36,Dudley Street,Boston,
84,,"46 DUDLEY ST, ROXBURY, MA 02119","46 Dudley Street, Boston, MA 02119",46,Dudley Street,Boston,
85,,"53 DUDLEY ST, ROXBURY, MA 02119","53 Dudley Street, Boston, MA 02119",53,Dudley Street,Boston,
86,,"61 DUDLEY ST, ROXBURY, MA 02119","61 Dudley Street, Boston, MA 02119",61,Dudley Street,Boston,
87,,"56  58 DUDLEY ST, ROXBURY, MA 02119","56  58 Dudley Street, Boston, MA 02119",58,Dudley Street,Boston,true
88,,"19 KENILWORTH ST, ROXBURY, MA 02119","19 Kenilworth Street, Boston, MA 02119",19,Kenilworth Street,Boston,
89,,"7 KENILWORTH ST, ROXBURY, MA 02119","7 Kenilworth Street, Boston, MA 02119",7,Kenilworth Street,Boston,
90,,"36 ST JAMES ST, ROXBURY, MA 02119","36 Saint James Street, Boston, MA 02119",36,Saint James Street,Boston,
91,,"34 ST JAMES ST, ROXBURY, MA 02119","34 Saint James Street, Boston, MA 02119",34,Saint James Street,Boston,
92,,"13 ST JAMES ST, ROXBURY, MA 02119","13 Saint James Street, Boston, MA 02119",13,Saint James Street,Boston,
93,,"11  13 REGENT ST, ROXBURY, MA 02119","11  13 Regent Street, Boston, MA 02119",11-13,Regent Street,Boston,true
94,,"21  23 REGENT ST, ROXBURY, MA 02119","21  23 Regent Street, Boston, MA 02119",23,Regent Street,Boston,true
95,,"30 AKRON ST, ROXBURY, MA 02119","30 Akron Street, Boston, MA 02119",30,Akron Street,Boston,
96,,"1 AKRON PL, ROXBURY, MA 02119","1 Akron Place, Boston, MA 02119",1,Akron Place,Boston,
97,,"3 AKRON PL, ROXBURY, MA 02119","3 Akron Place, Boston, MA 02119",3,Akron Place,Boston,
98,,"4 AKRON PL, ROXBURY, MA 02119","4 Akron Place, Boston, MA 02119",4,Akron Place,Boston,
99,,"17 AKRON ST, ROXBURY, MA 02119","17 Akron Street, Boston, MA 02119",17,Akron Street,Boston,
100,,"22 AKRON ST, ROXBURY, MA 02119","22 Akron Street, Boston, MA 02119",22,Akron Street,Boston,
101,,"20 ALPINE ST, ROXBURY, MA 02119","20 Alpine Street, Boston, MA 02119",20,Alpine Street,Boston,
102,,"62 ALPINE ST, ROXBURY, MA 02119","62 Alpine Street, Boston, MA 02119",62,Alpine Street,Boston,
103,,"53 CIRCUIT ST, ROXBURY, MA 02119","53 Circuit Street, Boston, MA 02119",53,Circuit Street,Boston,
104,,"143  145 FISHER AV, ROXBURY CROSSIN, MA 02120","143  145 Fisher Avenue, Boston, MA 02120",145,Fisher Avenue,Boston,true
105,,"127  129 FISHER AV, ROXBURY CROSSIN, MA 02120","127  129 Fisher Avenue, Boston, MA 02120",129,Fisher Avenue,Boston,true
106,,"141 FISHER AV, ROXBURY CROSSIN, MA 02120","141 Fisher Avenue, Boston, MA 02120",141,Fisher Avenue,Boston,
107,,"136 FISHER AV, ROXBURY CROSSIN, MA 02120","136 Fisher Avenue, Boston, MA 02120",136,Fisher Avenue,Boston,
108,,"31 LAWN ST, ROXBURY CROSSIN, MA 02120","31 Lawn Street, Boston, MA 02120",31,Lawn Street,Boston,
109,,"130 FISHER AV, ROXBURY CROSSIN, MA 02120","130 Fisher Avenue, Boston, MA 02120",130,Fisher Avenue,Boston,
110,,"124 FISHER AV, ROXBURY CROSSIN, MA 02120","124 Fisher Avenue, Boston, MA 02120",124,Fisher Avenue,Boston,
111,,"84 FISHER AV, ROXBURY CROSSIN, MA 02120","84 Fisher Avenue, Boston, MA 02120",84,Fisher Avenue,Boston,
112,,"78 FISHER AV, ROXBURY CROSSIN, MA 02120","78 Fisher Avenue, Boston, MA 02120",78,Fisher Avenue,Boston,
113,,"68  70 FISHER AV, ROXBURY CROSSIN, MA 02120","68  70 Fisher Avenue, Boston, MA 02120",70,Fisher Avenue,Boston,true
114,,"72  74 FISHER AV, ROXBURY CROSSIN, MA 02120","72  74 Fisher Avenue, Boston, MA 02120",74,Fisher Avenue,Boston,true
115,,"88  90 WENSLEY ST, ROXBURY CROSSIN, MA 02120","88  90 Wensley Street, Boston, MA 02120",90,Wensley Street,Boston,true
116,,"11 LAWN ST, ROXBURY CROSSIN, MA 02120","11 Lawn Street, Boston, MA 02120",11,Lawn Street,Boston,
117,,"9 LAWN ST, ROXBURY CROSSIN, MA 02120","9 Lawn Street, Boston, MA 02120",9,Lawn Street,Boston,
118,,"7 LAWN ST, ROXBURY CROSSIN, MA 02120","7 Lawn Street, Boston, MA 02120",7,Lawn Street,Boston,
119,,"171 HEATH ST, ROXBURY CROSSIN, MA 02120","171 Heath Street, Boston, MA 02120",171,Heath Street,Boston,
120,,"5 LAWN ST, ROXBURY CROSSIN, MA 02120","5 Lawn Street, Boston, MA 02120",5,Lawn Street,Boston,
121,,"73 WENSLEY ST, ROXBURY CROSSIN, MA 02120","73 Wensley Street, Boston, MA 02120",73,Wensley Street,Boston,
122,,"71 WENSLEY ST, ROXBURY CROSSIN, MA 02120","71 Wensley Street, Boston, MA 02120",71,Wensley Street,Boston,
123,,"67 WENSLEY ST, ROXBURY CROSSIN, MA 02120","67 Wensley Street, Boston, MA 02120",67,Wensley Street,Boston,
124,,"65 WENSLEY ST, ROXBURY CROSSIN, MA 02120","65 Wensley Street, Boston, MA 02120",65,Wensley Street,Boston,
125,,"34  36 WENSLEY ST, ROXBURY CROSSIN, MA 02120","34  36 Wensley Street, Boston, MA 02120",36,Wensley Street,Boston,true
126,,"7 BICKFORD AV, ROXBURY CROSSIN, MA 02120","7 Bickford Avenue, Boston, MA 02120",7,Bickford Avenue,Boston,
127,,"5 BICKFORD AV, ROXBURY CROSSIN, MA 02120","5 Bickford Avenue, Boston, MA 02120",5,Bickford Avenue,Boston,
128,,"3 BICKFORD AV, ROXBURY CROSSIN, MA 02120","3 Bickford Avenue, Boston, MA 02120",3,Bickford Avenue,Boston,
129,,"1 BICKFORD AV, ROXBURY CROSSIN, MA 02120","1 Bickford Avenue, Boston, MA 02120",1,Bickford Avenue,Boston,
130,,"26  28 WENSLEY ST, ROXBURY CROSSIN, MA 02120","26  28 Wensley Street, Boston, MA 02120",28,Wensley Street,Boston,true
131,,"22  24 WENSLEY ST, ROXBURY CROSSIN, MA 02120","22  24 Wensley Street, Boston, MA 02120",24,Wensley Street,Boston,true
132,,"20 WENSLEY ST, ROXBURY CROSSIN, MA 02120","20 Wensley Street, Boston, MA 02120",20,Wensley Street,Boston,
133,,"18 WENSLEY ST, ROXBURY CROSSIN, MA 02120","18 Wensley Street, Boston, MA 02120",18,Wensley Street,Boston,
134,,"7 WENSLEY ST, ROXBURY CROSSIN, MA 02120","7 Wensley Street, Boston, MA 02120",7,Wensley Street,Boston,
135,,"3 WENSLEY ST, ROXBURY CROSSIN, MA 02120","3 Wensley Street, Boston, MA 02120",3,Wensley Street,Boston,
136,,"4 FISHER AV, ROXBURY CROSSIN, MA 02120","4 Fisher Avenue, Boston, MA 02120",4,Fisher Avenue,Boston,
137,,"6 FISHER AV, ROXBURY CROSSIN, MA 02120","6 Fisher Avenue, Boston, MA 02120",6,Fisher Avenue,Boston,
138,,"277  279 PARKER HILL AV, ROXBURY CROSSIN, MA 02120","277  279 Parker Hill Avenue, Boston, MA 02120",279,Parker Hill Avenue,Boston,true
139,,"4 WILLOUGHBY PL, ROXBURY, MA 02119","4 Willoughby Place, Boston, MA 02119",4,Willoughby Place,Boston,
140,,"2 WILLOUGHBY PL, ROXBURY, MA 02119","2 Willoughby Place, Boston, MA 02119",2,Willoughby Place,Boston,
141,,"14 BLANCHARD ST, ROXBURY, MA 02119","14 Blanchard Street, Boston, MA 02119",14,Blanchard Street,Boston,
142,,"16 BLANCHARD ST, ROXBURY, MA 02119","16 Blanchard Street, Boston, MA 02119",16,Blanchard Street,Boston,
143,,"40 NORFOLK ST, ROXBURY, MA 02119","40 Norfolk Street, Boston, MA 02119",40,Norfolk Street,Boston,
144,,"38 NORFOLK ST, ROXBURY, MA 02119","38 Norfolk Street, Boston, MA 02119",38,Norfolk Street,Boston,
145,,"34 LAMBERT ST, ROXBURY, MA 02119","34 Lambert Street, Boston, MA 02119",34,Lambert Street,Boston,
146,,"51 NORFOLK ST, ROXBURY, MA 02119","51 Norfolk Street, Boston, MA 02119",51,Norfolk Street,Boston,
147,,"23 LAMBERT AV, ROXBURY, MA 02119","23 Lambert Avenue, Boston, MA 02119",23,Lambert Avenue,Boston,
148,,"27 LAMBERT AV, ROXBURY, MA 02119","27 Lambert Avenue, Boston, MA 02119",27,Lambert Avenue,Boston,
149,,"13  15 LAMBERT ST, ROXBURY, MA 02119","13  15 Lambert Street, Boston, MA 02119",15,Lambert Street,Boston,true
150,,"12 LAMBERT ST, ROXBURY, MA 02119","12 Lambert Street, Boston, MA 02119",12,Lambert Street,Boston,
151,,"36 HIGHLAND ST, ROXBURY, MA 02119","36 Highland Street, Boston, MA 02119",36,Highland Street,Boston,
152,,"34 HIGHLAND ST, ROXBURY, MA 02119","34 Highland Street, Boston, MA 02119",34,Highland Street,Boston,
153,,"6 LAMBERT ST, ROXBURY, MA 02119","6 Lambert Street, Boston, MA 02119",6,Lambert Street,Boston,
154,,"8 LAMBERT ST, ROXBURY, MA 02119","8 Lambert Street, Boston, MA 02119",8,Lambert Street,Boston,
155,,"10 LAMBERT ST, ROXBURY, MA 02119","10 Lambert Street, Boston, MA 02119",10,Lambert Street,Boston,
156,,"23  25 MILLMONT ST, ROXBURY, MA 02119","23  25 Millmont Street, Boston, MA 02119",25,Millmont Street,Boston,true
157,,"44 GUILD ST, ROXBURY, MA 02119","44 Guild Street, Boston, MA 02119",44,Guild Street,Boston,
158,,"36  38 GUILD ST, ROXBURY, MA 02119","36  38 Guild Street, Boston, MA 02119",38,Guild Street,Boston,true
159,,"5  7 THORNTON ST, ROXBURY, MA 02119","5  7 Thornton Street, Boston, MA 02119",7,Thornton Street,Boston,true
160,,"19  21 THORNTON ST, ROXBURY, MA 02119","19  21 Thornton Street, Boston, MA 02119",21,Thornton Street,Boston,true
161,,"14  16 ROCKLEDGE ST, ROXBURY, MA 02119","14  16 Rockledge Street, Boston, MA 02119",16,Rockledge Street,Boston,true
162,,"2 ROCKLEDGE ST, ROXBURY, MA 02119","2 Rockledge Street, Boston, MA 02119",2,Rockledge Street,Boston,
163,,"31 DORR ST, ROXBURY, MA 02119","31 Dorr Street, Boston, MA 02119",31,Dorr Street,Boston,
164,,"29 DORR ST, ROXBURY, MA 02119","29 Dorr Street, Boston, MA 02119",29,Dorr Street,Boston,
165,,"25 DORR ST, ROXBURY, MA 02119","25 Dorr Street, Boston, MA 02119",25,Dorr Street,Boston,
166,,"22 DORR ST, ROXBURY, MA 02119","22 Dorr Street, Boston, MA 02119",22,Dorr Street,Boston,
167,,"20 DORR ST, ROXBURY, MA 02119","20 Dorr Street, Boston, MA 02119",20,Dorr Street,Boston,
168,,"18 DORR ST, ROXBURY, MA 02119","18 Dorr Street, Boston, MA 02119",18,Dorr Street,Boston,
169,,"76 HIGHLAND ST, ROXBURY, MA 02119","76 Highland Street, Boston, MA 02119",76,Highland Street,Boston,
170,,"85 CEDAR ST, ROXBURY, MA 02119","85 Cedar Street, Boston, MA 02119",85,Cedar Street,Boston,
171,,"79  81 CEDAR ST, ROXBURY, MA 02119","79  81 Cedar Street, Boston, MA 02119",81,Cedar Street,Boston,true
172,,"77 CEDAR ST, ROXBURY, MA 02119","77 Cedar Street, Boston, MA 02119",77,Cedar Street,Boston,
173,,"80 LAMBERT AV, ROXBURY, MA 02119","80 Lambert Avenue, Boston, MA 02119",80,Lambert Avenue,Boston,
174,,"21  23 LOGAN ST, ROXBURY, MA 02119","21  23 Logan Street, Boston, MA 02119",23,Logan Street,Boston,true
175,,"16  18 LOGAN ST, ROXBURY, MA 02119","16  18 Logan Street, Boston, MA 02119",18,Logan Street,Boston,true
176,,"25 LOGAN ST, ROXBURY, MA 02119","25 Logan Street, Boston, MA 02119",25,Logan Street,Boston,
177,,"22  20 LOGAN ST, ROXBURY, MA 02119","22  20 Logan Street, Boston, MA 02119",20,Logan Street,Boston,true
178,,"27 LOGAN ST, ROXBURY, MA 02119","27 Logan Street, Boston, MA 02119",27,Logan Street,Boston,
179,,"35  37 THORNTON ST, ROXBURY, MA 02119","35  37 Thornton Street, Boston, MA 02119",37,Thornton Street,Boston,true
180,,"1 CEDAR SQ, ROXBURY, MA 02119","1 Cedar Square, Boston, MA 02119",1,Cedar Square,Boston,
181,,"38 JUNIPER ST, ROXBURY, MA 02119","38 Juniper Street, Boston, MA 02119",38,Juniper Street,Boston,
182,,"30 JUNIPER ST, ROXBURY, MA 02119","30 Juniper Street, Boston, MA 02119",30,Juniper Street,Boston,
183,,"2641 WASHINGTON ST, ROXBURY, MA 02119","2641 Washington Street, Boston, MA 02119",2641,Washington Street,Boston,
184,,"20  22 CIRCUIT ST, ROXBURY, MA 02119","20  22 Circuit Street, Boston, MA 02119",22,Circuit Street,Boston,true
185,,"18 CIRCUIT ST, ROXBURY, MA 02119","18 Circuit Street, Boston, MA 02119",18,Circuit Street,Boston,
186,,"2 HESTIA PK, ROXBURY, MA 02119","2 Hestia Park, Boston, MA 02119",2,Hestia Park,Boston,
187,,"37 ROCKLAND ST, ROXBURY, MA 02119","37 Rockland Street, Boston, MA 02119",37,Rockland Street,Boston,
188,,"92 WALNUT AV, ROXBURY, MA 02119","92 Walnut Avenue, Boston, MA 02119",92,Walnut Avenue,Boston,
189,,"2 PICKERING AV, ROXBURY, MA 02119","2 Pickering Avenue, Boston, MA 02119",2,Pickering Avenue,Boston,
190,,"6 PICKERING AV, ROXBURY, MA 02119","6 Pickering Avenue, Boston, MA 02119",6,Pickering Avenue,Boston,
191,,"7 PICKERING AV, ROXBURY, MA 02119","7 Pickering Avenue, Boston, MA 02119",7,Pickering Avenue,Boston,
192,,"103 WALNUT AV, ROXBURY, MA 02119","103 Walnut Avenue, Boston, MA 02119",103,Walnut Avenue,Boston,
193,,"101 WALNUT AV, ROXBURY, MA 02119","101 Walnut Avenue, Boston, MA 02119",101,Walnut Avenue,Boston,
194,,"3 LESLIE PK, ROXBURY, MA 02119","3 Leslie Park, Boston, MA 02119",3,Leslie Park,Boston,
195,,"73 DALE ST, ROXBURY, MA 02119","73 Dale Street, Boston, MA 02119",73,Dale Street,Boston,
196,,"5 LESLIE PK, ROXBURY, MA 02119","5 Leslie Park, Boston, MA 02119",5,Leslie Park,Boston,
197,,"1 LESLIE PK, ROXBURY, MA 02119","1 Leslie Park, Boston, MA 02119",1,Leslie Park,Boston,
198,,"1 PICKERING AV, ROXBURY, MA 02119","1 Pickering Avenue, Boston, MA 02119",1,Pickering Avenue,Boston,
199,,"71 DALE ST, ROXBURY, MA 02119","71 Dale Street, Boston, MA 02119",71,Dale Street,Boston,
200,,"52 DALE ST, ROXBURY, MA 02119","52 Dale Street, Boston, MA 02119",52,Dale Street,Boston,
201,,"49 DALE ST, ROXBURY, MA 02119","49 Dale Street, Boston, MA 02119",49,Dale Street,Boston,
202,,"18 MILLS ST, ROXBURY, MA 02119","18 Mills Street, Boston, MA 02119",18,Mills Street,Boston,
203,,"16 MILLS ST, ROXBURY, MA 02119","16 Mills Street, Boston, MA 02119",16,Mills Street,Boston,
204,,"14 MILLS ST, ROXBURY, MA 02119","14 Mills Street, Boston, MA 02119",14,Mills Street,Boston,
205,,"11 MILLS ST, ROXBURY, MA 02119","11 Mills Street, Boston, MA 02119",11,Mills Street,Boston,
206,,"8 MILLS ST, ROXBURY, MA 02119","8 Mills Street, Boston, MA 02119",8,Mills Street,Boston,
207,,"9 MILLS ST, ROXBURY, MA 02119","9 Mills Street, Boston, MA 02119",9,Mills Street,Boston,
208,,"6 MILLS ST, ROXBURY, MA 02119","6 Mills Street, Boston, MA 02119",6,Mills Street,Boston,
209,,"4 MILLS ST, ROXBURY, MA 02119","4 Mills Street, Boston, MA 02119",4,Mills Street,Boston,
210,,"16 ROCKLAND ST, ROXBURY, MA 02119","16 Rockland Street, Boston, MA 02119",16,Rockland Street,Boston,
211,,"6 ROCKLAND AV, ROXBURY, MA 02119","6 Rockland Avenue, Boston, MA 02119",6,Rockland Avenue,Boston,
212,,"7 SHERMAN ST, ROXBURY, MA 02119","7 Sherman Street, Boston, MA 02119",7,Sherman Street,Boston,
213,,"13 SHERMAN ST, ROXBURY, MA 02119","13 Sherman Street, Boston, MA 02119",13,Sherman Street,Boston,
214,,"17 DALE ST, ROXBURY, MA 02119","17 Dale Street, Boston, MA 02119",17,Dale Street,Boston,
215,,"19 DALE ST, ROXBURY, MA 02119","19 Dale Street, Boston, MA 02119",19,Dale Street,Boston,
216,,"38 DALE ST, ROXBURY, MA 02119","38 Dale Street, Boston, MA 02119",38,Dale Street,Boston,
217,,"48 DALE ST, ROXBURY, MA 02119","48 Dale Street, Boston, MA 02119",48,Dale Street,Boston,
218,,"50 DALE ST, ROXBURY, MA 02119","50 Dale Street, Boston, MA 02119",50,Dale Street,Boston,
219,Error: Geocoded home far away,"6 LAUREL ST, ROXBURY, MA 02119","6 Laurel Street, Boston, MA 02119",6,Laurel Street,Boston,
